OID_,Lion,GMT_Date,GMT_Time,Latitude,Longitude,Date_Time,LongitudeU,LatitudeUT
,F62b,1/28/2012 0:00:00,13:20,33.580061299999997,-117.536487600000000,1/28/2012 0:00:00,450213.785457000020000,3715724.518439999800000
,F62b,1/28/2012 0:00:00,13:25,33.580000699999999,-117.536404500000000,1/28/2012 0:00:00,450221.462457999990000,3715717.759639999800000
,F62b,1/28/2012 0:00:00,13:30,33.580021199999997,-117.536514200000000,1/28/2012 0:00:00,450211.293912999970000,3715720.085250000000000
,F62b,1/28/2012 0:00:00,13:35,33.579903299999998,-117.536520900000000,1/28/2012 0:00:00,450210.604439000020000,3715707.016619999900000
,F62b,1/28/2012 0:00:00,13:40,33.579965999999999,-117.536478000000000,1/28/2012 0:00:00,450214.621627999990000,3715713.947689999800000
,F62b,1/28/2012 0:00:00,13:45,33.579992900000001,-117.536459699999990,1/28/2012 0:00:00,450216.335339999990000,3715716.921370000100000
,F62b,1/28/2012 0:00:00,13:50,33.579978599999997,-117.536457300000000,1/28/2012 0:00:00,450216.549852999970000,3715715.334739999800000
,F62b,1/28/2012 0:00:00,13:55,33.579975800000000,-117.536468500000000,1/28/2012 0:00:00,450215.508869000010000,3715715.029680000200000
,F62b,1/28/2012 0:00:00,14:00,33.580188700000001,-117.536659900000000,1/28/2012 0:00:00,450197.868959999990000,3715738.726410000100000
,F62b,1/28/2012 0:00:00,14:05,33.580376899999997,-117.537466300000010,1/28/2012 0:00:00,450123.142309000020000,3715759.980580000200000
,F62b,1/28/2012 0:00:00,14:10,33.580624499999999,-117.538390800000000,1/28/2012 0:00:00,450037.490430000010000,3715787.878120000000000
,F62b,1/28/2012 0:00:00,14:15,33.581094499999999,-117.538410700000000,1/28/2012 0:00:00,450035.914550999990000,3715839.997740000000000
,F62b,1/28/2012 0:00:00,14:20,33.581100999999997,-117.538352600000000,1/28/2012 0:00:00,450041.309991999990000,3715840.690390000100000
,F62b,1/28/2012 0:00:00,14:25,33.581090699999997,-117.538356699999990,1/28/2012 0:00:00,450040.923575999970000,3715839.550379999900000
,F62b,1/28/2012 0:00:00,14:31,33.581154099999999,-117.538312800000000,1/28/2012 0:00:00,450045.034038999990000,3715846.558520000000000
,F62b,1/28/2012 0:00:00,14:36,33.581146300000000,-117.538228899999990,1/28/2012 0:00:00,450052.815483000010000,3715845.653260000100000
,F62b,1/28/2012 0:00:00,14:40,33.581260499999999,-117.538393400000000,1/28/2012 0:00:00,450037.615658000000000,3715858.394220000100000
